"gene"	"C6_Tu_time18-WT_Tu_time18"	"C6_no_time6-WT_no_time6"	"C6_no_time6-WT_Tu_time18"	"C6_no_time6-WT_Tu_time18_ESTIMATE"	"C6_no_time6-C6_no_time18"	"WT_no_time6-WT_no_time18"	"C6_Tu_time18-WT_Tu_time18_padj"	"C6_no_time6-WT_no_time6_padj"	"C6_no_time6-C6_no_time18_padj"	"WT_no_time6-WT_no_time18_padj"
"A2M.P01023"	"A2M.P01023"	0.00367891648714717	0.113472685081138	0.0266646105459003	-0.977794158659645	0.901640477568118	0.736531822494955	1	1	1	1
"AAAS.Q9NRG9"	"AAAS.Q9NRG9"	0.0650815368722214	0.0122384059206372	0.0201232074951946	-0.206269068849166	0.00276160069544252	8.00503687498857e-06	1	1	1	0.0456127001136848
"AAGAB.Q6PD74"	"AAGAB.Q6PD74"	0.640860534941779	0.018171028213001	0.493883039703601	-0.113307398040049	0.672817668941593	0.770873222253454	1	1	1	1
"AAK1.Q2M2I8"	"AAK1.Q2M2I8"	0.181376811561977	0.497368553005747	3.90937367466953e-06	-0.622816074892476	0.00811841101673162	0.852286679591982	1	1	1	1
"AAMP.Q13685"	"AAMP.Q13685"	0.313900845755394	0.000317640896639182	0.000215714769305703	0.536480587139731	0.0353009150546534	0.164017648552104	1	1	1	1
"AAR2.Q9Y312"	"AAR2.Q9Y312"	0.432160731503307	0.000330330187026953	0.218692085943163	0.237162580637823	0.946118746744441	0.00180024212003744	1	1	1	1
"AARS1.P49588"	"AARS1.P49588"	0.0181211800033151	0.138034385538993	1.17644979186542e-06	-0.580754931097328	0.856130981668658	0.0123534053399146	1	1	1	1
"AARS2.Q5JTZ9"	"AARS2.Q5JTZ9"	0.0644691826375216	0.292652287207077	0.0850628748557752	-0.29965177742577	0.910308871489643	0.00533710161968145	1	1	1	1
"AARSD1.Q9BTE6"	"AARSD1.Q9BTE6"	0.0352649420826278	0.776756044106533	0.277403959502605	0.11303713089843	0.210830979096816	1.49228736240564e-05	1	1	1	0.0844783875857835
"AASDHPPT.Q9NRN7"	"AASDHPPT.Q9NRN7"	1.40207320418065e-07	1.720216943467e-06	1.23144140740425e-07	0.648232527043708	0.768176090732936	1.5993798139243e-05	0.000809697275414325	0.0097570705033448	1	0.0904609222755582
