module	genotype_pvalue	drug_pvalue	time_pvalue
MEmagenta	1.29990643946584e-23	0.646072933936203	0.00132707929028456
MEsalmon	3.81176697221603e-10	0.0596826617346108	0.000152013482403852
MEgreenyellow	2.64125364072623e-06	0.0246319768549981	0.000144340867169671
MEblack	0.00413963307413053	0.0873261020662832	0.142015018967244
MEblue	7.63125851060829e-12	3.75069865752904e-08	5.96147623417966e-05
MEcyan	2.23879730814408e-12	2.25712840294508e-11	7.11189805395061e-07
MEpink	0.658316402869123	7.94238631307493e-10	0.000516324409356101
MEred	0.00106737022633365	0.0940258908443732	0.173168807533478
MEyellow	0.979708544197584	0.470761610230572	0.00282572147252486
MEbrown	8.79853620055068e-08	0.0064068020476727	0.00454502716810637
MEmidnightblue	0.874638695163834	0.0222666708703158	0.000176827376851388
MEpurple	0.911879586000311	0.0124453992047504	0.0205998226066939
