module	C6_Tu_time18-WT_Tu_time18	C6_no_time6-WT_no_time6	C6_no_time6-C6_no_time18	WT_no_time6-WT_no_time18
MEmagenta	1.28089116461996e-12	1.4904426718785e-12	0.464460078353054	0.298104924301727
MEsalmon	0.0064999051204433	0.000458883435323947	0.0289125841130842	0.0170118311142478
MEgreenyellow	0.0643444272206658	0.00163985363554749	0.0569803210673782	0.000657454901036216
MEblack	1	0.578597531111845	0.469048992711392	1
MEblue	1.72229526447542e-06	2.81174381999515e-08	0.00942741066843661	0.529124522302416
MEcyan	2.74665206246246e-12	1.85452127997638e-12	0.0193781374121621	1
MEpink	1	0.277809490581342	0.469048992711392	0.00222446068693242
MEred	0.344987440767235	0.68719003376128	0.469048992711392	0.529124522302416
MEyellow	1	1	0.464460078353054	0.228350322959879
MEbrown	0.00296641064109514	0.000718557780546517	0.469048992711392	2.4116090465012e-06
MEmidnightblue	1	1	0.0290311087008629	1.27557895768518e-05
MEpurple	1	1	0.469048992711392	0.00024930343100678
