module	C6_Tu_time18-WT_Tu_time18	C6_no_time6-WT_no_time6	C6_no_time6-C6_no_time18	WT_no_time6-WT_no_time18
MEmagenta	1.06740930384997e-13	1.24203555989875e-13	0.066351439764722	0.0596209848603455
MEsalmon	0.000812488140055413	5.09870483693274e-05	0.00289125841130842	0.00243026158774968
MEgreenyellow	0.00919206103152368	0.000234264805078213	0.00712254013342227	7.30505445595796e-05
MEblack	0.588087481129845	0.115719506222369	0.156250530281593	0.684801280386222
MEblue	1.72229526447542e-07	2.81174381999515e-09	0.000785617555703051	0.132281130575604
MEcyan	2.49695642042042e-13	1.68592843634216e-13	0.0017616488556511	0.739031356548247
MEpink	0.235372047355238	0.046301581763557	0.360920403673876	0.000278057585866553
MEred	0.0574979067945392	0.17179750844032	0.183691354089715	0.159284214726071
MEyellow	0.495366588770715	0.597594535805993	0.0722367999552983	0.0380583871599799
MEbrown	0.000329601182343904	8.98197225683146e-05	0.0938097985422784	2.00967420541767e-07
MEmidnightblue	0.554082279865547	0.420881891438373	0.00322567874454032	1.15961723425925e-06
MEpurple	0.248397906236248	0.709511765849336	0.115575129372345	2.4930343100678e-05
