"gene"	"module"	"uniprot"	"genes"
"1"	"A2M.P01023"	"red"	"P01023"	"A2M"
"2"	"AAAS.Q9NRG9"	"brown"	"Q9NRG9"	"AAAS"
"3"	"AAGAB.Q6PD74"	"black"	"Q6PD74"	"AAGAB"
"4"	"AAK1.Q2M2I8"	"pink"	"Q2M2I8"	"AAK1"
"5"	"AAMP.Q13685"	"brown"	"Q13685"	"AAMP"
"6"	"AAR2.Q9Y312"	"magenta"	"Q9Y312"	"AAR2"
"7"	"AARS1.P49588"	"pink"	"P49588"	"AARS1"
"8"	"AARS2.Q5JTZ9"	"brown"	"Q5JTZ9"	"AARS2"
"9"	"AARSD1.Q9BTE6"	"brown"	"Q9BTE6"	"AARSD1"
"10"	"AASDHPPT.Q9NRN7"	"magenta"	"Q9NRN7"	"AASDHPPT"
"11"	"AASS.Q9UDR5"	"magenta"	"Q9UDR5"	"AASS"
"12"	"AATF.Q9NY61"	"red"	"Q9NY61"	"AATF"
"13"	"ABAT.P80404"	"magenta"	"P80404"	"ABAT"
"14"	"ABCA13.Q86UQ4"	"yellow"	"Q86UQ4"	"ABCA13"
"15"	"ABCB10.Q9NRK6"	"midnightblue"	"Q9NRK6"	"ABCB10"
"16"	"ABCB7.O75027"	"brown"	"O75027"	"ABCB7"
"17"	"ABCC1.P33527"	"magenta"	"P33527"	"ABCC1"
"18"	"ABCC4.O15439"	"midnightblue"	"O15439"	"ABCC4"
"19"	"ABCD3.P28288"	"brown"	"P28288"	"ABCD3"
"20"	"ABCE1.P61221"	"blue"	"P61221"	"ABCE1"
"21"	"ABCF1.Q8NE71"	"magenta"	"Q8NE71"	"ABCF1"
"22"	"ABCF2.Q9UG63"	"brown"	"Q9UG63"	"ABCF2"
"23"	"ABCF3.Q9NUQ8"	"black"	"Q9NUQ8"	"ABCF3"
"24"	"ABHD10.Q9NUJ1"	"yellow"	"Q9NUJ1"	"ABHD10"
"25"	"ABHD11.Q8NFV4"	"black"	"Q8NFV4"	"ABHD11"
"26"	"ABHD12.Q8N2K0"	"brown"	"Q8N2K0"	"ABHD12"
"27"	"ABHD14B.Q96IU4"	"magenta"	"Q96IU4"	"ABHD14B"
"28"	"ABHD16A.O95870"	"black"	"O95870"	"ABHD16A"
"29"	"ABI1.Q8IZP0"	"brown"	"Q8IZP0"	"ABI1"
"30"	"ABI2.Q9NYB9"	"yellow"	"Q9NYB9"	"ABI2"
"31"	"ABI3.Q9P2A4"	"yellow"	"Q9P2A4"	"ABI3"
"32"	"ABITRAM.Q9NX38"	"yellow"	"Q9NX38"	"ABITRAM"
"33"	"ABL2.P42684"	"salmon"	"P42684"	"ABL2"
"34"	"ABLIM1.O14639"	"black"	"O14639"	"ABLIM1"
"35"	"ABRACL.Q9P1F3"	"greenyellow"	"Q9P1F3"	"ABRACL"
"36"	"ABRAXAS2.Q15018"	"black"	"Q15018"	"ABRAXAS2"
"37"	"ABR.Q12979"	"red"	"Q12979"	"ABR"
"38"	"ABT1.Q9ULW3"	"black"	"Q9ULW3"	"ABT1"
"39"	"ACAA1.P09110"	"salmon"	"P09110"	"ACAA1"
"40"	"ACAA2.P42765"	"red"	"P42765"	"ACAA2"
"41"	"ACACA.Q13085"	"yellow"	"Q13085"	"ACACA"
"42"	"ACAD8.Q9UKU7"	"brown"	"Q9UKU7"	"ACAD8"
"43"	"ACAD9.Q9H845"	"midnightblue"	"Q9H845"	"ACAD9"
"44"	"ACADM.P11310"	"brown"	"P11310"	"ACADM"
"45"	"ACADSB.P45954"	"red"	"P45954"	"ACADSB"
"46"	"ACADVL.P49748"	"brown"	"P49748"	"ACADVL"
"47"	"ACAP2.Q15057"	"salmon"	"Q15057"	"ACAP2"
"48"	"ACAT1.P24752"	"greenyellow"	"P24752"	"ACAT1"
"49"	"ACAT2.Q9BWD1"	"blue"	"Q9BWD1"	"ACAT2"
"50"	"ACBD3.Q9H3P7"	"black"	"Q9H3P7"	"ACBD3"
"51"	"ACBD5.Q5T8D3"	"magenta"	"Q5T8D3"	"ACBD5"
"52"	"ACBD6.Q9BR61"	"brown"	"Q9BR61"	"ACBD6"
"53"	"ACIN1.Q9UKV3"	"yellow"	"Q9UKV3"	"ACIN1"
"54"	"ACLY.P53396"	"magenta"	"P53396"	"ACLY"
"55"	"ACO1.P21399"	"magenta"	"P21399"	"ACO1"
"56"	"ACO2.Q99798"	"midnightblue"	"Q99798"	"ACO2"
"57"	"ACOT13.Q9NPJ3"	"black"	"Q9NPJ3"	"ACOT13"
"58"	"ACOT2.P49753"	"brown"	"P49753"	"ACOT2"
"59"	"ACOT7.O00154"	"magenta"	"O00154"	"ACOT7"
"60"	"ACOT9.Q9Y305"	"yellow"	"Q9Y305"	"ACOT9"
"61"	"ACOX1.Q15067.2"	"magenta"	"Q15067"	"ACOX1"
"62"	"ACOX3.O15254"	"magenta"	"O15254"	"ACOX3"
"63"	"ACP1.P24666"	"brown"	"P24666"	"ACP1"
"64"	"ACP2.P11117"	"blue"	"P11117"	"ACP2"
"65"	"ACP6.Q9NPH0"	"greenyellow"	"Q9NPH0"	"ACP6"
"66"	"ACSF2.Q96CM8"	"magenta"	"Q96CM8"	"ACSF2"
"67"	"ACSL1.P33121"	"magenta"	"P33121"	"ACSL1"
"68"	"ACSL3.O95573"	"midnightblue"	"O95573"	"ACSL3"
"69"	"ACSL4.O60488"	"brown"	"O60488"	"ACSL4"
"70"	"ACTA2.P62736"	"magenta"	"P62736"	"ACTA2"
"71"	"ACTBL2.Q562R1"	"black"	"Q562R1"	"ACTBL2"
"72"	"ACTB.P60709"	"magenta"	"P60709"	"ACTB"
"73"	"ACTG1.P63261"	"salmon"	"P63261"	"ACTG1"
"74"	"ACTL6A.O96019"	"black"	"O96019"	"ACTL6A"
"75"	"ACTN1.P12814"	"magenta"	"P12814"	"ACTN1"
"76"	"ACTN2.P35609"	"yellow"	"P35609"	"ACTN2"
"77"	"ACTN3.Q08043"	"magenta"	"Q08043"	"ACTN3"
"78"	"ACTN4.O43707"	"blue"	"O43707"	"ACTN4"
"79"	"ACTR10.Q9NZ32"	"magenta"	"Q9NZ32"	"ACTR10"
"80"	"ACTR1A.P61163"	"greenyellow"	"P61163"	"ACTR1A"
"81"	"ACTR1B.P42025"	"blue"	"P42025"	"ACTR1B"
"82"	"ACTR2.P61160"	"magenta"	"P61160"	"ACTR2"
"83"	"ACTR3B.Q9P1U1"	"pink"	"Q9P1U1"	"ACTR3B"
"84"	"ACTR3.P61158"	"red"	"P61158"	"ACTR3"
"85"	"ACTR5.Q9H9F9"	"magenta"	"Q9H9F9"	"ACTR5"
"86"	"ACTR6.Q9GZN1"	"black"	"Q9GZN1"	"ACTR6"
"87"	"ACTR8.Q9H981"	"purple"	"Q9H981"	"ACTR8"
"88"	"ACY1.Q03154"	"magenta"	"Q03154"	"ACY1"
"89"	"ACYP1.P07311"	"black"	"P07311"	"ACYP1"
"90"	"ADAM10.O14672"	"magenta"	"O14672"	"ADAM10"
"91"	"ADAM15.Q13444"	"pink"	"Q13444"	"ADAM15"
"92"	"ADAM17.P78536"	"red"	"P78536"	"ADAM17"
"93"	"ADAM9.Q13443"	"pink"	"Q13443"	"ADAM9"
"94"	"ADAR.P55265"	"purple"	"P55265"	"ADAR"
"95"	"ADAR.P55265.2"	"black"	"P55265"	"ADAR"
"96"	"ADAT2.Q7Z6V5"	"black"	"Q7Z6V5"	"ADAT2"
"97"	"ADA.P00813"	"red"	"P00813"	"ADA"
"98"	"ADCK1.Q86TW2"	"yellow"	"Q86TW2"	"ADCK1"
"99"	"ADCY3.O60266"	"blue"	"O60266"	"ADCY3"
"100"	"ADD1.P35611"	"cyan"	"P35611"	"ADD1"
"101"	"ADD3.Q9UEY8"	"magenta"	"Q9UEY8"	"ADD3"
"102"	"ADGB.Q8N7X0"	"midnightblue"	"Q8N7X0"	"ADGB"
"103"	"ADGRE5.P48960"	"blue"	"P48960"	"ADGRE5"
"104"	"ADGRL2.O95490"	"black"	"O95490"	"ADGRL2"
"105"	"ADH5.P11766"	"purple"	"P11766"	"ADH5"
"106"	"ADI1.Q9BV57"	"salmon"	"Q9BV57"	"ADI1"
"107"	"ADK.P55263"	"blue"	"P55263"	"ADK"
"108"	"ADNP.Q9H2P0"	"blue"	"Q9H2P0"	"ADNP"
"109"	"ADO.Q96SZ5"	"brown"	"Q96SZ5"	"ADO"
"110"	"ADPGK.Q9BRR6"	"purple"	"Q9BRR6"	"ADPGK"
"111"	"ADPRS.Q9NX46"	"brown"	"Q9NX46"	"ADPRS"
"112"	"ADRM1.Q16186"	"magenta"	"Q16186"	"ADRM1"
"113"	"ADSL.P30566"	"pink"	"P30566"	"ADSL"
"114"	"ADSS2.P30520"	"brown"	"P30520"	"ADSS2"
"115"	"AEBP1.Q8IUX7"	"blue"	"Q8IUX7"	"AEBP1"
"116"	"AEBP2.Q6ZN18"	"brown"	"Q6ZN18"	"AEBP2"
"117"	"AEN.Q8WTP8"	"blue"	"Q8WTP8"	"AEN"
"118"	"AFAP1L1.Q8TED9"	"magenta"	"Q8TED9"	"AFAP1L1"
"119"	"AFAP1.Q8N556"	"cyan"	"Q8N556"	"AFAP1"
"120"	"AFDN.P55196"	"magenta"	"P55196"	"AFDN"
"121"	"AFF4.Q9UHB7"	"purple"	"Q9UHB7"	"AFF4"
"122"	"AFG3L2.Q9Y4W6"	"yellow"	"Q9Y4W6"	"AFG3L2"
"123"	"AFTPH.Q6ULP2"	"salmon"	"Q6ULP2"	"AFTPH"
"124"	"AGFG1.P52594"	"magenta"	"P52594"	"AGFG1"
"125"	"AGK.Q53H12"	"brown"	"Q53H12"	"AGK"
"126"	"AGL.P35573"	"greenyellow"	"P35573"	"AGL"
"127"	"AGO2.Q9UKV8"	"yellow"	"Q9UKV8"	"AGO2"
"128"	"AGPAT1.Q99943"	"grey"	"Q99943"	"AGPAT1"
"129"	"AGPAT2.O15120"	"black"	"O15120"	"AGPAT2"
"130"	"AGPS.O00116"	"midnightblue"	"O00116"	"AGPS"
"131"	"AGRN.O00468.6"	"salmon"	"O00468"	"AGRN"
"132"	"AGTRAP.Q6RW13"	"grey"	"Q6RW13"	"AGTRAP"
"133"	"AHCTF1.Q8WYP5"	"purple"	"Q8WYP5"	"AHCTF1"
"134"	"AHCYL1.O43865"	"cyan"	"O43865"	"AHCYL1"
"135"	"AHCY.P23526"	"blue"	"P23526"	"AHCY"
"136"	"AHNAK2.Q8IVF2"	"magenta"	"Q8IVF2"	"AHNAK2"
"137"	"AHNAK.Q09666"	"greenyellow"	"Q09666"	"AHNAK"
"138"	"AHSA1.O95433"	"black"	"O95433"	"AHSA1"
"139"	"AHSG.P02765"	"magenta"	"P02765"	"AHSG"
"140"	"AIDA.Q96BJ3"	"black"	"Q96BJ3"	"AIDA"
"141"	"AIF1L.Q9BQI0"	"black"	"Q9BQI0"	"AIF1L"
"142"	"AIFM1.O95831"	"yellow"	"O95831"	"AIFM1"
"143"	"AIFM2.Q9BRQ8"	"magenta"	"Q9BRQ8"	"AIFM2"
"144"	"AIMP1.Q12904"	"black"	"Q12904"	"AIMP1"
"145"	"AIMP2.Q13155"	"black"	"Q13155"	"AIMP2"
"146"	"AIMP2.Q13155.2"	"magenta"	"Q13155"	"AIMP2"
"147"	"AIP.O00170"	"brown"	"O00170"	"AIP"
"148"	"AJUBA.Q96IF1"	"black"	"Q96IF1"	"AJUBA"
"149"	"AK1.P00568"	"brown"	"P00568"	"AK1"
"150"	"AK2.P54819"	"magenta"	"P54819"	"AK2"
"151"	"AK3.Q9UIJ7"	"magenta"	"Q9UIJ7"	"AK3"
"152"	"AK4.P27144"	"yellow"	"P27144"	"AK4"
"153"	"AK6.Q9Y3D8"	"black"	"Q9Y3D8"	"AK6"
"154"	"AKAP10.O43572"	"salmon"	"O43572"	"AKAP10"
"155"	"AKAP12.Q02952"	"brown"	"Q02952"	"AKAP12"
"156"	"AKAP13.Q12802"	"red"	"Q12802"	"AKAP13"
"157"	"AKAP1.Q92667"	"purple"	"Q92667"	"AKAP1"
"158"	"AKAP2.Q9Y2D5.4"	"magenta"	"Q9Y2D5"	"AKAP2"
"159"	"AKAP8L.Q9ULX6"	"black"	"Q9ULX6"	"AKAP8L"
"160"	"AKAP8.O43823"	"magenta"	"O43823"	"AKAP8"
"161"	"AKR1A1.P14550"	"blue"	"P14550"	"AKR1A1"
"162"	"AKR1B1.P15121"	"brown"	"P15121"	"AKR1B1"
"163"	"AKR7A2.O43488"	"brown"	"O43488"	"AKR7A2"
"164"	"AKT1S1.Q96B36"	"salmon"	"Q96B36"	"AKT1S1"
"165"	"AKT2.P31751"	"magenta"	"P31751"	"AKT2"
"166"	"AKTIP.Q9H8T0"	"black"	"Q9H8T0"	"AKTIP"
"167"	"ALAS1.P13196"	"brown"	"P13196"	"ALAS1"
"168"	"ALB.P02768"	"magenta"	"P02768"	"ALB"
"169"	"ALCAM.Q13740"	"yellow"	"Q13740"	"ALCAM"
"170"	"ALCAM.Q13740.2"	"blue"	"Q13740"	"ALCAM"
"171"	"ALDH16A1.Q8IZ83"	"black"	"Q8IZ83"	"ALDH16A1"
"172"	"ALDH18A1.P54886"	"brown"	"P54886"	"ALDH18A1"
"173"	"ALDH1B1.P30837"	"red"	"P30837"	"ALDH1B1"
"174"	"ALDH1L2.Q3SY69"	"pink"	"Q3SY69"	"ALDH1L2"
"175"	"ALDH2.P05091"	"yellow"	"P05091"	"ALDH2"
"176"	"ALDH3A2.P51648"	"midnightblue"	"P51648"	"ALDH3A2"
"177"	"ALDH4A1.P30038"	"greenyellow"	"P30038"	"ALDH4A1"
"178"	"ALDH5A1.P51649"	"greenyellow"	"P51649"	"ALDH5A1"
"179"	"ALDH6A1.Q02252"	"black"	"Q02252"	"ALDH6A1"
"180"	"ALDH7A1.P49419.2"	"magenta"	"P49419"	"ALDH7A1"
"181"	"ALDH9A1.P49189"	"yellow"	"P49189"	"ALDH9A1"
"182"	"ALDOA.P04075"	"brown"	"P04075"	"ALDOA"
"183"	"ALDOC.P09972"	"black"	"P09972"	"ALDOC"
"184"	"ALG10.Q5BKT4"	"black"	"Q5BKT4"	"ALG10"
"185"	"ALG11.Q2TAA5"	"midnightblue"	"Q2TAA5"	"ALG11"
"186"	"ALG12.Q9BV10"	"magenta"	"Q9BV10"	"ALG12"
"187"	"ALG1.Q9BT22"	"purple"	"Q9BT22"	"ALG1"
"188"	"ALG2.Q9H553"	"magenta"	"Q9H553"	"ALG2"
"189"	"ALG3.Q92685"	"greenyellow"	"Q92685"	"ALG3"
"190"	"ALG5.Q9Y673"	"yellow"	"Q9Y673"	"ALG5"
"191"	"ALG6.Q9Y672"	"brown"	"Q9Y672"	"ALG6"
"192"	"ALG8.Q9BVK2"	"brown"	"Q9BVK2"	"ALG8"
"193"	"ALG9.Q9H6U8"	"midnightblue"	"Q9H6U8"	"ALG9"
"194"	"ALKBH1.Q13686"	"black"	"Q13686"	"ALKBH1"
"195"	"ALKBH5.Q6P6C2"	"pink"	"Q6P6C2"	"ALKBH5"
"196"	"ALKBH6.Q3KRA9"	"black"	"Q3KRA9"	"ALKBH6"
"197"	"ALKBH7.Q9BT30"	"brown"	"Q9BT30"	"ALKBH7"
"198"	"ALKBH8.Q96BT7"	"magenta"	"Q96BT7"	"ALKBH8"
"199"	"ALMS1.Q8TCU4"	"red"	"Q8TCU4"	"ALMS1"
"200"	"ALYREF.Q86V81"	"red"	"Q86V81"	"ALYREF"
"201"	"AMBRA1.Q9C0C7"	"yellow"	"Q9C0C7"	"AMBRA1"
"202"	"AMDHD2.Q9Y303"	"red"	"Q9Y303"	"AMDHD2"
"203"	"AMFR.Q9UKV5"	"greenyellow"	"Q9UKV5"	"AMFR"
"204"	"AMOTL2.Q9Y2J4"	"pink"	"Q9Y2J4"	"AMOTL2"
"205"	"AMPD2.Q01433"	"magenta"	"Q01433"	"AMPD2"
"206"	"AMPH.P49418"	"yellow"	"P49418"	"AMPH"
"207"	"ANAPC10.Q9UM13"	"magenta"	"Q9UM13"	"ANAPC10"
"208"	"ANAPC16.Q96DE5"	"blue"	"Q96DE5"	"ANAPC16"
"209"	"ANAPC1.Q9H1A4"	"magenta"	"Q9H1A4"	"ANAPC1"
"210"	"ANAPC2.Q9UJX6"	"brown"	"Q9UJX6"	"ANAPC2"
"211"	"ANAPC4.Q9UJX5"	"red"	"Q9UJX5"	"ANAPC4"
"212"	"ANAPC5.Q9UJX4"	"magenta"	"Q9UJX4"	"ANAPC5"
"213"	"ANAPC7.Q9UJX3"	"magenta"	"Q9UJX3"	"ANAPC7"
"214"	"ANGEL2.Q5VTE6"	"magenta"	"Q5VTE6"	"ANGEL2"
"215"	"ANKFY1.Q9P2R3"	"red"	"Q9P2R3"	"ANKFY1"
"216"	"ANKHD1.Q8IWZ3"	"blue"	"Q8IWZ3"	"ANKHD1"
"217"	"ANKLE2.Q86XL3"	"black"	"Q86XL3"	"ANKLE2"
"218"	"ANKRD11.Q6UB99"	"grey"	"Q6UB99"	"ANKRD11"
"219"	"ANKRD13A.Q8IZ07"	"magenta"	"Q8IZ07"	"ANKRD13A"
"220"	"ANKRD17.O75179"	"black"	"O75179"	"ANKRD17"
"221"	"ANKRD1.Q15327"	"brown"	"Q15327"	"ANKRD1"
"222"	"ANKRD27.Q96NW4"	"blue"	"Q96NW4"	"ANKRD27"
"223"	"ANKRD28.O15084"	"yellow"	"O15084"	"ANKRD28"
"224"	"ANKRD39.Q53RE8"	"salmon"	"Q53RE8"	"ANKRD39"
"225"	"ANKRD40.Q6AI12"	"cyan"	"Q6AI12"	"ANKRD40"
"226"	"ANKRD50.Q9ULJ7"	"greenyellow"	"Q9ULJ7"	"ANKRD50"
"227"	"ANKRD52.Q8NB46"	"pink"	"Q8NB46"	"ANKRD52"
"228"	"ANKS1A.Q92625"	"grey"	"Q92625"	"ANKS1A"
"229"	"ANLN.Q9NQW6"	"blue"	"Q9NQW6"	"ANLN"
"230"	"ANO10.Q9NW15"	"brown"	"Q9NW15"	"ANO10"
"231"	"ANP32A.P39687"	"brown"	"P39687"	"ANP32A"
"232"	"ANP32B.Q92688"	"brown"	"Q92688"	"ANP32B"
"233"	"ANP32E.Q9BTT0"	"black"	"Q9BTT0"	"ANP32E"
"234"	"ANTXR1.Q9H6X2"	"brown"	"Q9H6X2"	"ANTXR1"
"235"	"ANTXR2.P58335"	"purple"	"P58335"	"ANTXR2"
"236"	"ANXA11.P50995"	"yellow"	"P50995"	"ANXA11"
"237"	"ANXA1.P04083"	"black"	"P04083"	"ANXA1"
"238"	"ANXA2.P07355"	"magenta"	"P07355"	"ANXA2"
"239"	"ANXA3.P12429"	"magenta"	"P12429"	"ANXA3"
"240"	"ANXA4.P09525"	"brown"	"P09525"	"ANXA4"
"241"	"ANXA5.P08758"	"black"	"P08758"	"ANXA5"
"242"	"ANXA6.P08133"	"cyan"	"P08133"	"ANXA6"
"243"	"ANXA7.P20073"	"black"	"P20073"	"ANXA7"
"244"	"ANXA8.P13928"	"magenta"	"P13928"	"ANXA8"
"245"	"AP1B1.Q10567"	"blue"	"Q10567"	"AP1B1"
"246"	"AP1G1.O43747"	"magenta"	"O43747"	"AP1G1"
"247"	"AP1G2.O75843"	"magenta"	"O75843"	"AP1G2"
"248"	"AP1M1.Q9BXS5"	"blue"	"Q9BXS5"	"AP1M1"
"249"	"AP1S1.P61966"	"greenyellow"	"P61966"	"AP1S1"
"250"	"AP1S2.P56377"	"grey"	"P56377"	"AP1S2"
"251"	"AP2A1.O95782"	"magenta"	"O95782"	"AP2A1"
"252"	"AP2A2.O94973"	"magenta"	"O94973"	"AP2A2"
"253"	"AP2B1.P63010"	"magenta"	"P63010"	"AP2B1"
"254"	"AP2M1.Q96CW1"	"magenta"	"Q96CW1"	"AP2M1"
"255"	"AP2S1.P53680"	"magenta"	"P53680"	"AP2S1"
"256"	"AP3B1.O00203"	"blue"	"O00203"	"AP3B1"
"257"	"AP3D1.O14617"	"blue"	"O14617"	"AP3D1"
"258"	"AP3M1.Q9Y2T2"	"magenta"	"Q9Y2T2"	"AP3M1"
